label,text,cleaned_text,Topic,Probability,Topic_Label
neutral,"According to Gran , the company has no plans to move all production to Russia , although that is where the company is growing .",accord gran compani plan move product russia although compani grow,42,1.0,russia
neutral,"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",technopoli plan develop stage area less squar meter order host compani work comput technolog telecommun statement said,0,1.0,build
negative,"The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers , the daily Postimees reported .",intern electron industri compani elcoteq laid ten employe tallinn facil contrari earlier layoff compani contract rank offic worker daili postime report,-1,0.0,outlier
positive,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,new product plant compani would increas capac meet expect increas demand would improv use raw materi therefor increas product profit,-1,0.0,outlier
positive,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",accord compani updat strategi year baswar target longterm net sale growth rang oper profit margin net sale,-1,0.0,outlier
positive,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,financ aspocomp growth aspocomp aggress pursu growth strategi increas focus technolog demand hdi print circuit board pcbs,-1,0.0,outlier
positive,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .",last quarter componenta net sale doubl eurm eurm period year earlier move zero pretax profit pretax loss eurm,34,0.06472724007864315,pretax
positive,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",third quarter net sale increas eur mn oper profit eur mn,76,1.0,mn
positive,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,oper profit rose eur mn eur mn correspond period repres net sale,-1,0.0,outlier
positive,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",oper profit total eur mn eur mn repres net sale,76,1.0,mn
positive,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,teliasonera tlsn said offer line strategi increas ownership core busi hold would strengthen eesti telekom offer custom,-1,0.0,outlier
positive,"STORA ENSO , NORSKE SKOG , M-REAL , UPM-KYMMENE Credit Suisse First Boston ( CFSB ) raised the fair value for shares in four of the largest Nordic forestry groups .",stora enso norsk skog mreal upmkymmen credit suiss first boston cfsb rais fair valu share four largest nordic forestri group,46,0.5529818477869195,forest
positive,"A purchase agreement for 7,200 tons of gasoline with delivery at the Hamina terminal , Finland , was signed with Neste Oil OYj at the average Platts index for this September plus eight US dollars per month .",purchas agreement ton gasolin deliveri hamina termin finland sign nest oil oyj averag platt index septemb plus eight u dollar per month,-1,0.0,outlier
positive,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",finnish talentum report oper profit increas eur mn eur mn net sale total eur mn eur mn,-1,0.0,outlier
positive,"Clothing retail chain Sepp+Æl+Æ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",cloth retail chain seppælæ sale increas eur mn oper profit rose eur mn eur mn,-1,0.0,outlier
positive,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",consolid net sale increas reach eur oper profit amount eur compar loss eur prior year period,27,0.543919585241241,period
positive,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",foundri divis report sale increas eur mn eur mn correspond period sale machin shop divis increas eur mn eur mn correspond period,54,1.0,mn
positive,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",helsinki afx share close higher led nokia announc plan team sanyo manufactur g handset nokian tyre fourthquart earn report beat analyst expect dealer said,-1,0.0,outlier
positive,"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",incap contract manufactur servic pvt ltd subsidiari incap corpor finland plan doubl revenu,3,1.0,agreement
positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",board director propos dividend eur per share eur per share paid,39,1.0,dividend
positive,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .",lifetre found revenu risen averag margin late,15,1.0,revenu
positive,"( Filippova ) A trilateral agreement on investment in the construction of a technology park in St Petersburg was to have been signed in the course of the forum , Days of the Russian Economy , that opened in Helsinki today .",filippova trilater agreement invest construct technolog park st petersburg sign cours forum day russian economi open helsinki today,0,0.8817093323338966,build
positive,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",megafon subscrib base increas million user decemb market share number custom amount late late accord teliasonera estim,-1,0.0,outlier
positive,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",net incom life insur doubl eur mn eur mn net incom nonlif insur rose eur mn eur mn correspond period,-1,0.0,outlier
positive,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),net sale increas eur eur pretax profit rose eur eur usd,34,0.412846980752605,pretax
positive,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",net sale surg eur telest said eur sale came acquisit made,-1,0.0,outlier
