embedding,use_topic,model,accuracy,precision,recall,f1_score
embeddings_finbert,False,svm,0.849329205366357,0.8396369426751592,0.8139514012675777,0.8227241772172637
embeddings_finbert_with_topic,True,mlp,0.8431372549019608,0.8303793273008001,0.8163002574767281,0.8222030918620108
embeddings_finbert_with_topic,True,svm,0.8390092879256966,0.8250654668166479,0.8040478875204812,0.8106637777224478
embeddings_finbert,False,mlp,0.8307533539731682,0.8089128058941698,0.8074154535551594,0.807182135238825
embeddings_finbert_with_topic,True,rf,0.8286893704850361,0.8258883355318188,0.7787362821620842,0.7958770876771762
embeddings_finbert,False,rf,0.8255933952528379,0.824784037642687,0.7750598115738491,0.7930692899951078
embeddings_sbert,False,svm,0.8111455108359134,0.8155454547828166,0.7557268315958156,0.7771341070431141
embeddings_sbert_with_topic,True,svm,0.8008255933952528,0.8020249217167962,0.7412958124020959,0.760744340778337
embeddings_bert_with_topic,True,mlp,0.7894736842105263,0.7529759658141906,0.7495704032301626,0.7502388679834932
embeddings_sbert_with_topic,True,mlp,0.7884416924664602,0.7675674162448193,0.7533439339923298,0.7597889714134244
embeddings_finbert,False,logreg,0.7884416924664602,0.7620104669034715,0.7595760411602658,0.7606899644178626
embeddings_bert,False,mlp,0.7874097007223942,0.741602380369879,0.7451185765858225,0.7428001474020389
embeddings_bert_with_topic,True,svm,0.7853457172342622,0.7614119937298912,0.6975616233637624,0.720304198523444
embeddings_sbert,False,mlp,0.7853457172342622,0.7593222919670873,0.7450794711824124,0.7516436869547283
embeddings_bert,False,svm,0.7843137254901961,0.7557130383542517,0.6865133622319451,0.7118551300992829
embeddings_finbert_with_topic,True,logreg,0.7832817337461301,0.7562963677963678,0.7543311344280595,0.7548604008731711
embeddings_word2vec,False,mlp,0.7770897832817337,0.7393628345329816,0.7288619821206721,0.7339069870327055
embeddings_sbert,False,logreg,0.7698658410732714,0.7245569245569244,0.7311641369128,0.7270910915106481
embeddings_word2vec,False,svm,0.7667698658410733,0.7247103459045872,0.6573261019283746,0.681930152650771
embeddings_word2vec_with_topic,True,mlp,0.7647058823529411,0.7131972996294604,0.7155101595275393,0.7130120740654627
embeddings_word2vec_with_topic,True,svm,0.759545923632611,0.7095105789176186,0.6404542303606475,0.6650225767366774
embeddings_sbert_with_topic,True,logreg,0.7585139318885449,0.7141920446385478,0.7306799613784908,0.7215861189177306
embeddings_word2vec,False,logreg,0.7533539731682146,0.7120457261935544,0.7005004366301156,0.7036196868263008
embeddings_bert,False,logreg,0.7492260061919505,0.703688524590164,0.730470649003403,0.7156531734132933
embeddings_bert_with_topic,True,logreg,0.7440660474716202,0.6986066426698483,0.7156387290912692,0.7065393973631297
embeddings_word2vec_with_topic,True,logreg,0.7440660474716202,0.6968808716350452,0.6937627725562218,0.6942035182928343
embeddings_sbert_with_topic,True,rf,0.7285861713106295,0.8050085884449296,0.5690531090765047,0.6110683799374201
embeddings_sbert,False,rf,0.7162022703818369,0.767413335877893,0.5549940132159384,0.5892310177612772
embeddings_bert_with_topic,True,rf,0.7151702786377709,0.7207639280278505,0.5571172396874269,0.5917169004862285
embeddings_bert,False,rf,0.7069143446852425,0.6966810966810967,0.5433721123894921,0.573985511764115
embeddings_word2vec_with_topic,True,rf,0.6904024767801857,0.6640245478036175,0.5002380084265111,0.5208084523582176
embeddings_word2vec,False,rf,0.6883384932920537,0.6534314201785908,0.49149443409135923,0.50828322945949
